young_modulus; poisson_ratio; length; width; f1; f2; f3; f4; displacement 
280000,0000;0,1000;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;1000000,0000;11,9343
280000,0000;0,4500;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;1000000,0000;11,0856
280000,0000;0,1000;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;5000000,0000;13,1075
280000,0000;0,4500;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;5000000,0000;12,1846
280000,0000;0,2750;8000,0000;1000,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;42,7849
280000,0000;0,2750;10000,0000;1000,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;83,3630
280000,0000;0,2750;8000,0000;2000,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;2,8561
280000,0000;0,2750;10000,0000;2000,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;5,4333
280000,0000;0,2750;8000,0000;1500,0000;1000000,0000;3000000,0000;5500000,0000;3000000,0000;3,4278
280000,0000;0,2750;10000,0000;1500,0000;1000000,0000;3000000,0000;5500000,0000;3000000,0000;6,5923
280000,0000;0,2750;8000,0000;1500,0000;10000000,0000;3000000,0000;5500000,0000;3000000,0000;15,0443
280000,0000;0,2750;10000,0000;1500,0000;10000000,0000;3000000,0000;5500000,0000;3000000,0000;29,0979
280000,0000;0,2750;8000,0000;1500,0000;5500000,0000;1000000,0000;5500000,0000;3000000,0000;8,1284
280000,0000;0,2750;10000,0000;1500,0000;5500000,0000;1000000,0000;5500000,0000;3000000,0000;15,7124
280000,0000;0,2750;8000,0000;1500,0000;5500000,0000;5000000,0000;5500000,0000;3000000,0000;10,0933
280000,0000;0,2750;10000,0000;1500,0000;5500000,0000;5000000,0000;5500000,0000;3000000,0000;19,5055
280000,0000;0,2750;8000,0000;1500,0000;5500000,0000;3000000,0000;1000000,0000;3000000,0000;9,8313
280000,0000;0,2750;10000,0000;1500,0000;5500000,0000;3000000,0000;1000000,0000;3000000,0000;18,9904
280000,0000;0,2750;8000,0000;1500,0000;5500000,0000;3000000,0000;10000000,0000;3000000,0000;8,1555
280000,0000;0,2750;10000,0000;1500,0000;5500000,0000;3000000,0000;10000000,0000;3000000,0000;15,7592
280000,0000;0,2750;8000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;1000000,0000;8,3210
280000,0000;0,2750;10000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;1000000,0000;16,1014
280000,0000;0,2750;8000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;5000000,0000;9,1616
280000,0000;0,2750;10000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;5000000,0000;17,6784
280000,0000;0,2750;9000,0000;1000,0000;1000000,0000;3000000,0000;5500000,0000;3000000,0000;23,8175
280000,0000;0,2750;9000,0000;2000,0000;1000000,0000;3000000,0000;5500000,0000;3000000,0000;1,5932
280000,0000;0,2750;9000,0000;1000,0000;10000000,0000;3000000,0000;5500000,0000;3000000,0000;105,5811
280000,0000;0,2750;9000,0000;2000,0000;10000000,0000;3000000,0000;5500000,0000;3000000,0000;6,9099
280000,0000;0,2750;9000,0000;1000,0000;5500000,0000;1000000,0000;5500000,0000;3000000,0000;56,9815
280000,0000;0,2750;9000,0000;2000,0000;5500000,0000;1000000,0000;5500000,0000;3000000,0000;3,7405
280000,0000;0,2750;9000,0000;1000,0000;5500000,0000;5000000,0000;5500000,0000;3000000,0000;70,7212
280000,0000;0,2750;9000,0000;2000,0000;5500000,0000;5000000,0000;5500000,0000;3000000,0000;4,6414
280000,0000;0,2750;9000,0000;1000,0000;5500000,0000;3000000,0000;1000000,0000;3000000,0000;68,7994
280000,0000;0,2750;9000,0000;2000,0000;5500000,0000;3000000,0000;1000000,0000;3000000,0000;4,5196
280000,0000;0,2750;9000,0000;1000,0000;5500000,0000;3000000,0000;10000000,0000;3000000,0000;57,1336
280000,0000;0,2750;9000,0000;2000,0000;5500000,0000;3000000,0000;10000000,0000;3000000,0000;3,7534
280000,0000;0,2750;9000,0000;1000,0000;5500000,0000;3000000,0000;5500000,0000;1000000,0000;58,4633
280000,0000;0,2750;9000,0000;2000,0000;5500000,0000;3000000,0000;5500000,0000;1000000,0000;3,8183
280000,0000;0,2750;9000,0000;1000,0000;5500000,0000;3000000,0000;5500000,0000;5000000,0000;63,9905
280000,0000;0,2750;9000,0000;2000,0000;5500000,0000;3000000,0000;5500000,0000;5000000,0000;4,2198
280000,0000;0,2750;9000,0000;1500,0000;1000000,0000;1000000,0000;5500000,0000;3000000,0000;2,1737
280000,0000;0,2750;9000,0000;1500,0000;10000000,0000;1000000,0000;5500000,0000;3000000,0000;20,7832
280000,0000;0,2750;9000,0000;1500,0000;1000000,0000;5000000,0000;5500000,0000;3000000,0000;8,7781
280000,0000;0,2750;9000,0000;1500,0000;10000000,0000;5000000,0000;5500000,0000;3000000,0000;22,4957
280000,0000;0,2750;9000,0000;1500,0000;1000000,0000;3000000,0000;1000000,0000;3000000,0000;8,1350
280000,0000;0,2750;9000,0000;1500,0000;10000000,0000;3000000,0000;1000000,0000;3000000,0000;22,2520
280000,0000;0,2750;9000,0000;1500,0000;1000000,0000;3000000,0000;10000000,0000;3000000,0000;2,3082
280000,0000;0,2750;9000,0000;1500,0000;10000000,0000;3000000,0000;10000000,0000;3000000,0000;20,8110
280000,0000;0,2750;9000,0000;1500,0000;1000000,0000;3000000,0000;5500000,0000;1000000,0000;3,4622
280000,0000;0,2750;9000,0000;1500,0000;10000000,0000;3000000,0000;5500000,0000;1000000,0000;20,9313
280000,0000;0,2750;9000,0000;1500,0000;1000000,0000;3000000,0000;5500000,0000;5000000,0000;6,3143
280000,0000;0,2750;9000,0000;1500,0000;10000000,0000;3000000,0000;5500000,0000;5000000,0000;21,6851
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;1000000,0000;1000000,0000;3000000,0000;12,0525
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;5000000,0000;1000000,0000;3000000,0000;16,6079
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;1000000,0000;10000000,0000;3000000,0000;11,9756
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;5000000,0000;10000000,0000;3000000,0000;12,5177
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;1000000,0000;5500000,0000;1000000,0000;11,5088
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;5000000,0000;5500000,0000;1000000,0000;13,3772
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;1000000,0000;5500000,0000;5000000,0000;11,6660
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;5000000,0000;5500000,0000;5000000,0000;15,2500
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;1000000,0000;1000000,0000;13,0488
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;10000000,0000;1000000,0000;11,4377
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;1000000,0000;5000000,0000;14,8311
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;10000000,0000;5000000,0000;11,7834
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;12,2705
